,lat,lon,ref,name,description,gbfs:name,gbfs:station_id,capacity,amenity,brand,brand:ja,brand:wikidata,brand:website,gbfs:system_id,authentication:app,fee,lat_label,lon_label
677,35.426939,139.580848,O-003,薬クリエイト横浜六ツ川店,,O-003.薬クリエイト横浜六ツ川店,934,5,bicycle_rental,Docomo Bike Share,ドコモ・バイクシェア,Q55533296,https://docomo-cycle.jp/,docomo-cycle,yes,yes,1,1
678,35.479648,139.64358,135,アクアリアタワー横浜,,135.アクアリアタワー横浜,935,11,bicycle_rental,Docomo Bike Share,ドコモ・バイクシェア,Q55533296,https://docomo-cycle.jp/,docomo-cycle,yes,yes,1,1
679,37.91504,139.05981,1,駅前通,,01.駅前通,936,6,bicycle_rental,Docomo Bike Share,ドコモ・バイクシェア,Q55533296,https://docomo-cycle.jp/,docomo-cycle,yes,yes,2,1
680,37.91641,139.05904,2,流作場五差路,,02.流作場五差路,937,8,bicycle_rental,Docomo Bike Share,ドコモ・バイクシェア,Q55533296,https://docomo-cycle.jp/,docomo-cycle,yes,yes,2,1
681,37.91856,139.05552,4,萬代橋東詰,,04.萬代橋東詰,938,7,bicycle_rental,Docomo Bike Share,ドコモ・バイクシェア,Q55533296,https://docomo-cycle.jp/,docomo-cycle,yes,yes,2,1
682,37.91271,139.05949,5,石宮公園,,05.石宮公園,939,30,bicycle_rental,Docomo Bike Share,ドコモ・バイクシェア,Q55533296,https://docomo-cycle.jp/,docomo-cycle,yes,yes,2,1
683,37.9141,139.05803,6,弁天公園,,06.弁天公園,940,10,bicycle_rental,Docomo Bike Share,ドコモ・バイクシェア,Q55533296,https://docomo-cycle.jp/,docomo-cycle,yes,yes,2,1
684,37.92158,139.04772,7,柾谷小路ゆうあい公園,,07.柾谷小路ゆうあい公園,941,8,bicycle_rental,Docomo Bike Share,ドコモ・バイクシェア,Q55533296,https://docomo-cycle.jp/,docomo-cycle,yes,yes,2,1
685,37.92107,139.04676,8,本町通６番町自転車駐車場,,08.本町通６番町自転車駐車場,942,8,bicycle_rental,Docomo Bike Share,ドコモ・バイクシェア,Q55533296,https://docomo-cycle.jp/,docomo-cycle,yes,yes,2,1
686,37.92107,139.04582,9,東堀前通自転車等駐車場,,09.東堀前通自転車等駐車場,943,10,bicycle_rental,Docomo Bike Share,ドコモ・バイクシェア,Q55533296,https://docomo-cycle.jp/,docomo-cycle,yes,yes,2,1
687,37.92301,139.04341,10,西堀通自転車駐車場,,10.西堀通自転車駐車場,944,8,bicycle_rental,Docomo Bike Share,ドコモ・バイクシェア,Q55533296,https://docomo-cycle.jp/,docomo-cycle,yes,yes,2,1
